Price,Day,Month,Year,District,Sector,Unit1,Unit2,Property Type,Old/New,Duration
145000,3,11,2005,14,0,1,1,3,0,1
1575000,20,2,2003,14,0,1,1,0,1,0
335000,27,1,2017,14,0,1,1,4,1,0
315000,8,1,2014,14,0,1,1,2,1,0
145000,3,11,2005,14,0,1,1,3,0,1
145000,3,11,2005,14,0,1,1,3,0,1
145000,3,11,2005,14,0,1,1,3,0,1
145000,3,11,2005,14,0,1,1,3,0,1
145000,3,11,2005,14,0,1,1,3,0,1
160000,12,10,2017,14,0,1,5,2,1,0
134144,9,1,2006,14,0,1,5,2,1,0
55500,24,3,2000,14,0,1,5,2,1,0
170000,9,3,2018,14,0,1,5,2,1,0
151000,13,7,2015,14,0,1,5,2,1,0
40000,5,3,1998,14,0,1,5,2,1,0
340000,22,12,2016,14,0,1,5,2,1,0
100000,21,12,2000,14,0,1,5,2,1,0
10490000,29,9,2016,14,0,1,5,4,1,0
210000,26,6,2007,14,0,1,5,2,1,0
180000,3,5,2006,14,0,1,5,2,1,0
158000,30,5,2003,14,0,1,5,2,1,0
205000,10,3,2010,14,0,1,5,2,1,0
46000,11,3,1997,14,0,1,5,2,1,0
97000,6,4,2001,14,0,1,5,0,1,0
155000,17,4,2003,14,0,1,5,2,1,0
205000,25,7,2007,14,0,1,5,2,1,0
180000,16,9,2005,14,0,1,5,2,1,0
194950,18,8,2017,14,0,1,6,3,0,1
147950,30,6,2017,14,0,1,6,3,0,1
149950,30,6,2017,14,0,1,6,3,0,1
180250,31,7,2017,14,0,1,6,3,0,1
199950,30,6,2017,14,0,1,6,3,0,1
254950,30,10,2017,14,0,1,6,3,0,1
194950,31,8,2017,14,0,1,6,3,0,1
185000,31,8,2017,14,0,1,6,3,0,1
192950,6,12,2017,14,0,1,6,3,0,1
191000,31,8,2017,14,0,1,6,3,0,1
144950,30,6,2017,14,0,1,6,3,0,1
249950,6,10,2017,14,0,1,6,3,0,1
194950,25,8,2017,14,0,1,6,3,0,1
149950,30,6,2017,14,0,1,6,3,0,1
189950,30,6,2017,14,0,1,6,3,0,1
194950,28,7,2017,14,0,1,6,3,0,1
154950,30,6,2017,14,0,1,6,3,0,1
194950,30,6,2017,14,0,1,6,3,0,1
237500,29,3,2018,14,0,1,6,3,1,1
208239,7,12,2017,14,0,1,6,3,0,1
235000,21,12,2018,14,0,1,6,3,1,1
245000,31,5,2017,14,0,1,6,3,0,1
174950,31,5,2017,14,0,1,6,3,0,1
147950,30,6,2017,14,0,1,6,3,0,1
194950,31,5,2017,14,0,1,6,3,0,1
179950,31,5,2017,14,0,1,6,3,0,1
199450,31,5,2017,14,0,1,6,3,0,1
237500,30,6,2017,14,0,1,6,3,0,1
139950,31,5,2017,14,0,1,6,3,0,1
194450,31,5,2017,14,0,1,6,3,0,1
149950,31,5,2017,14,0,1,6,3,0,1
190000,31,5,2017,14,0,1,6,3,0,1
149950,30,6,2017,14,0,1,6,3,0,1
175000,31,7,2017,14,0,1,6,3,0,1
189950,30,6,2017,14,0,1,6,3,0,1
199950,30,6,2017,14,0,1,6,3,0,1
197950,22,9,2017,14,0,1,6,3,0,1
144950,30,6,2017,14,0,1,6,3,0,1
390133,26,6,2015,14,0,1,8,4,1,0
110000,16,9,2005,14,0,1,8,2,1,0
20000,30,9,1997,14,0,1,8,2,1,0
20000,28,4,1995,14,0,1,8,2,1,0
85000,13,6,2013,14,0,1,8,2,1,0
117500,8,6,2007,14,0,1,10,3,1,1
