id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31301,52331820,Southampton,19,3,7,8,2019,8,8,2019,5,6,0,5,1200000
31302,51865200,Southampton,16,3,24,6,2019,25,6,2019,4,6,0,4,1200000
31303,52012483,Southampton,30,3,12,2,2019,24,8,2019,4,5,0,2,925000
31304,51868508,Southampton,30,3,24,6,2019,9,8,2019,2,5,0,2,925000
31305,51615092,Southampton,16,3,31,5,2019,12,7,2019,2,5,0,4,900000
31306,51819135,Southampton,30,3,19,6,2019,5,8,2019,3,6,0,2,900000
31307,47591812,Southampton,16,3,11,5,2018,15,4,2019,4,5,0,3,900000
31308,51985145,Southampton,16,3,4,7,2019,5,7,2019,3,5,0,3,900000
31309,51113350,Southampton,17,3,12,4,2019,12,8,2019,1,5,0,4,900000
31310,50815503,Southampton,30,3,15,3,2019,29,4,2019,4,5,0,2,900000
31311,52311641,Southampton,30,3,5,8,2019,8,8,2019,2,4,0,2,900000
31312,51325695,Southampton,16,3,3,5,2019,24,8,2019,3,4,0,2,900000
31313,48440979,Southampton,16,3,18,4,2019,18,4,2019,3,5,0,2,899950
31314,50914071,Southampton,17,3,25,3,2019,23,7,2019,6,10,0,5,925000
31315,49827319,Southampton,16,3,29,11,2018,23,7,2019,1,5,0,4,899950
31316,51506047,Southampton,30,3,21,5,2019,17,6,2019,4,6,0,4,850000
31317,52092954,Southampton,30,3,28,8,2019,28,8,2019,2,4,0,0,850000
31318,51101120,Southampton,15,2,11,4,2019,28,8,2019,3,12,0,2,830000
31319,51413757,Southampton,30,3,13,5,2019,7,8,2019,0,4,0,0,830000
31320,52423787,Southampton,15,3,15,8,2019,28,8,2019,1,6,0,4,750000
31321,51283142,Southampton,16,3,30,4,2019,1,5,2019,3,6,0,3,775000
31322,52092956,Southampton,30,3,28,8,2019,28,8,2019,2,4,0,0,750000
31323,45706469,Southampton,17,3,12,11,2018,31,7,2019,0,8,0,0,750000
31324,49628853,Southampton,17,3,9,11,2018,31,7,2019,4,8,0,2,750000
31325,49022962,Southampton,14,1,13,9,2018,28,8,2019,2,4,0,3,750000
31326,52092959,Southampton,16,3,31,5,2019,29,6,2019,3,5,0,3,750000
31327,51622995,Southampton,14,5,15,7,2019,6,8,2019,3,2,0,1,750000
31328,52089094,Southampton,14,8,15,3,2019,13,8,2019,0,4,0,0,750000
31329,45143363,Southampton,30,3,14,1,2019,28,8,2019,1,4,0,2,750000
31330,49267227,Southampton,16,3,3,6,2019,28,8,2019,2,5,0,1,750000
31331,51637848,Southampton,14,0,26,4,2019,22,8,2019,2,3,0,1,750000
